artist,track,track_url,tags,description,cluster,vibe
Taylor Swift,Blank Space,https://www.last.fm/music/Taylor+Swift/_/Blank+Space,"pop, love at first listen, 2014, female vocalists, best of 2014, electropop, taylor swift, 10s, 2010s, max martin","Artist Taylor Swift with song Blank Space tagged by:pop, love at first listen, 2014, female vocalists, best of 2014, electropop, taylor swift, 10s, 2010s, max martin",0,Confident
Taylor Swift,Cruel Summer,https://www.last.fm/music/Taylor+Swift/_/Cruel+Summer,"electropop, pop, synthpop, industrial pop, pop perfection, synthwave, love at first listen, 2019, the best of 2019, soty","Artist Taylor Swift with song Cruel Summer tagged by:electropop, pop, synthpop, industrial pop, pop perfection, synthwave, love at first listen, 2019, the best of 2019, soty",0,Confident
Taylor Swift,Shake It Off,https://www.last.fm/music/Taylor+Swift/_/Shake+It+Off,"pop, 2014, haters gonna hate, taylor swift, love at first listen, dance, happy, shake it off, best of 2014, 1989","Artist Taylor Swift with song Shake It Off tagged by:pop, 2014, haters gonna hate, taylor swift, love at first listen, dance, happy, shake it off, best of 2014, 1989",0,Confident
Taylor Swift,cardigan,https://www.last.fm/music/Taylor+Swift/_/cardigan,"folk pop, folk, chamber pop, singer-songwriter, indie, alternative, soft rock, indie rock, pop, indie folk","Artist Taylor Swift with song cardigan tagged by:folk pop, folk, chamber pop, singer-songwriter, indie, alternative, soft rock, indie rock, pop, indie folk",7,Melancholic
Taylor Swift,Style,https://www.last.fm/music/Taylor+Swift/_/Style,"pop, synthpop, love at first listen, taylor swift, 1989, pop rock, female vocalists, max martin, Funk-Pop, 2015","Artist Taylor Swift with song Style tagged by:pop, synthpop, love at first listen, taylor swift, 1989, pop rock, female vocalists, max martin, Funk-Pop, 2015",0,Confident
"Tyler, The Creator",See You Again (feat. Kali Uchis),"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)","rnb, rap, Neo-Soul, pop rap, alternative rnb, kali uchis, hip hop, black metal, art pop, Hip-Hop","Artist Tyler, The Creator with song See You Again (feat. Kali Uchis) tagged by:rnb, rap, Neo-Soul, pop rap, alternative rnb, kali uchis, hip hop, black metal, art pop, Hip-Hop",3,Reflective
"Tyler, The Creator",EARFQUAKE,"https://www.last.fm/music/Tyler,+The+Creator/_/EARFQUAKE","Neo-Soul, alternative rnb, Psychedelic Soul, experimental hip hop, synth funk, soul, rap, Neo-Psychedelia, pop rap, alternative","Artist Tyler, The Creator with song EARFQUAKE tagged by:Neo-Soul, alternative rnb, Psychedelic Soul, experimental hip hop, synth funk, soul, rap, Neo-Psychedelia, pop rap, alternative",3,Reflective
"Tyler, The Creator",NEW MAGIC WAND,"https://www.last.fm/music/Tyler,+The+Creator/_/NEW+MAGIC+WAND","WSUM 91.7 FM Madison, Have I heard You Before with DJ T, experimental hip hop, hardcore hip hop, hip hop, Neo-Soul, west coast hip hop, industrial hip hop, tyler the creator, rap","Artist Tyler, The Creator with song NEW MAGIC WAND tagged by:WSUM 91.7 FM Madison, Have I heard You Before with DJ T, experimental hip hop, hardcore hip hop, hip hop, Neo-Soul, west coast hip hop, industrial hip hop, tyler the creator, rap",3,Reflective
"Tyler, The Creator",ARE WE STILL FRIENDS?,"https://www.last.fm/music/Tyler,+The+Creator/_/ARE+WE+STILL+FRIENDS%3F","Neo-Soul, Psychedelic Soul, soul, alternative, Neo-Psychedelia, west coast, funk, Smooth Soul, Neo Soul, rnb","Artist Tyler, The Creator with song ARE WE STILL FRIENDS? tagged by:Neo-Soul, Psychedelic Soul, soul, alternative, Neo-Psychedelia, west coast, funk, Smooth Soul, Neo Soul, rnb",3,Reflective
"Tyler, The Creator",BEST INTEREST,"https://www.last.fm/music/Tyler,+The+Creator/_/BEST+INTEREST","Neo-Soul, pop rap, Tyler and Kali, pop soul, tyler the creator, jazz rap, rap, Psychedelic Soul, indie rap, mikacore","Artist Tyler, The Creator with song BEST INTEREST tagged by:Neo-Soul, pop rap, Tyler and Kali, pop soul, tyler the creator, jazz rap, rap, Psychedelic Soul, indie rap, mikacore",3,Reflective
Kendrick Lamar,HUMBLE.,https://www.last.fm/music/Kendrick+Lamar/_/HUMBLE.,"rap, Hip-Hop, trap, 2017, hip hop, american, pop rap, 2010s, west coast hip hop, pop","Artist Kendrick Lamar with song HUMBLE. tagged by:rap, Hip-Hop, trap, 2017, hip hop, american, pop rap, 2010s, west coast hip hop, pop",5,Energetic
Kendrick Lamar,Money Trees,https://www.last.fm/music/Kendrick+Lamar/_/Money+Trees,"rap, hip hop, Hip-Hop, west coast hip hop, trap, Conscious Hip Hop, pop rap, jay rock, kendrick lamar, 10s","Artist Kendrick Lamar with song Money Trees tagged by:rap, hip hop, Hip-Hop, west coast hip hop, trap, Conscious Hip Hop, pop rap, jay rock, kendrick lamar, 10s",5,Energetic
Kendrick Lamar,Not Like Us,https://www.last.fm/music/Kendrick+Lamar/_/Not+Like+Us,"Diss, Hip-Hop, diss track, instrumental, loud, spoken, rap, hip hop, hyphy, hardcore hip hop","Artist Kendrick Lamar with song Not Like Us tagged by:Diss, Hip-Hop, diss track, instrumental, loud, spoken, rap, hip hop, hyphy, hardcore hip hop",5,Energetic
Kendrick Lamar,Alright,https://www.last.fm/music/Kendrick+Lamar/_/Alright,"jazz rap, Hip-Hop, Conscious Hip Hop, Political Hip Hop, west coast hip hop, rap, 2015, Neo Soul, kendrick lamar, hip hop","Artist Kendrick Lamar with song Alright tagged by:jazz rap, Hip-Hop, Conscious Hip Hop, Political Hip Hop, west coast hip hop, rap, 2015, Neo Soul, kendrick lamar, hip hop",5,Energetic
Ariana Grande,7 rings,https://www.last.fm/music/Ariana+Grande/_/7+rings,"trap, pop, rnb, rap, Hip-Hop, 2019, 2010s, Ariana Grande, hip hop, pop rap","Artist Ariana Grande with song 7 rings tagged by:trap, pop, rnb, rap, Hip-Hop, 2019, 2010s, Ariana Grande, hip hop, pop rap",0,Confident
Ariana Grande,Into You,https://www.last.fm/music/Ariana+Grande/_/Into+You,"pop, best of 2016, dance-pop, love at first listen, 2016, dance, electropop, Ariana Grande, fode essa buceta, pop perfection","Artist Ariana Grande with song Into You tagged by:pop, best of 2016, dance-pop, love at first listen, 2016, dance, electropop, Ariana Grande, fode essa buceta, pop perfection",0,Confident
Ariana Grande,One Last Time,https://www.last.fm/music/Ariana+Grande/_/One+Last+Time,"pop, 2014, sad, female vocalists, euphoric, heartbreak, Ariana Grande, 2015, Ballad, love at first listen","Artist Ariana Grande with song One Last Time tagged by:pop, 2014, sad, female vocalists, euphoric, heartbreak, Ariana Grande, 2015, Ballad, love at first listen",0,Confident
Ariana Grande,"thank u, next","https://www.last.fm/music/Ariana+Grande/_/thank+u,+next","pop, rnb, Thank U, 2010s, 2018, pete fracassado, electropop, best of 2018, next, Ariana Grande","Artist Ariana Grande with song thank u, next tagged by:pop, rnb, Thank U, 2010s, 2018, pete fracassado, electropop, best of 2018, next, Ariana Grande",0,Confident
Ariana Grande,Dangerous Woman,https://www.last.fm/music/Ariana+Grande/_/Dangerous+Woman,"pop, rnb, 2016, sexy, best of 2016, love at first listen, dangerous woman, Ariana Grande, hino, feminist","Artist Ariana Grande with song Dangerous Woman tagged by:pop, rnb, 2016, sexy, best of 2016, love at first listen, dangerous woman, Ariana Grande, hino, feminist",0,Confident
Lady Gaga,Poker Face,https://www.last.fm/music/Lady+Gaga/_/Poker+Face,"pop, dance, Lady Gaga, electronic, party, female vocalists, electropop, poker face, sexy, catchy","Artist Lady Gaga with song Poker Face tagged by:pop, dance, Lady Gaga, electronic, party, female vocalists, electropop, poker face, sexy, catchy",0,Confident
Lady Gaga,Bad Romance,https://www.last.fm/music/Lady+Gaga/_/Bad+Romance,"pop, dance, Lady Gaga, female vocalists, addictive, electronic, dance all night, party, Bad Romance, sexy","Artist Lady Gaga with song Bad Romance tagged by:pop, dance, Lady Gaga, female vocalists, addictive, electronic, dance all night, party, Bad Romance, sexy",0,Confident
Lady Gaga,Paparazzi,https://www.last.fm/music/Lady+Gaga/_/Paparazzi,"pop, dance, Lady Gaga, female vocalists, Paparazzi, electronic, electropop, gossip girl, sexy, 00s","Artist Lady Gaga with song Paparazzi tagged by:pop, dance, Lady Gaga, female vocalists, Paparazzi, electronic, electropop, gossip girl, sexy, 00s",0,Confident
Lady Gaga,Just Dance,https://www.last.fm/music/Lady+Gaga/_/Just+Dance,"dance, pop, Lady Gaga, electronic, female vocalists, just dance, party, catchy, electropop, 2008","Artist Lady Gaga with song Just Dance tagged by:dance, pop, Lady Gaga, electronic, female vocalists, just dance, party, catchy, electropop, 2008",0,Confident
Lady Gaga,LoveGame,https://www.last.fm/music/Lady+Gaga/_/LoveGame,"dance, pop, Lady Gaga, electropop, sexy, electronic, female vocalists, club, party, 00s","Artist Lady Gaga with song LoveGame tagged by:dance, pop, Lady Gaga, electropop, sexy, electronic, female vocalists, club, party, 00s",0,Confident
Sabrina Carpenter,Espresso,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,"pop, nu-disco, dance-pop, boogie, 2024, espresso, dance, funktronica, my top songs, best of 2024","Artist Sabrina Carpenter with song Espresso tagged by:pop, nu-disco, dance-pop, boogie, 2024, espresso, dance, funktronica, my top songs, best of 2024",7,Melancholic
Sabrina Carpenter,Please Please Please,https://www.last.fm/music/Sabrina+Carpenter/_/Please+Please+Please,"pop, synthpop, my top songs, country pop, us number one, female vocalist, Sabrina Carpenter, 2024, sassy, country","Artist Sabrina Carpenter with song Please Please Please tagged by:pop, synthpop, my top songs, country pop, us number one, female vocalist, Sabrina Carpenter, 2024, sassy, country",0,Confident
Sabrina Carpenter,Taste,https://www.last.fm/music/Sabrina+Carpenter/_/Taste,"pop, pop rock, 2024, Sabrina Carpenter, taste, synthpop, rock, singer songwriter, female vocalist, electropop","Artist Sabrina Carpenter with song Taste tagged by:pop, pop rock, 2024, Sabrina Carpenter, taste, synthpop, rock, singer songwriter, female vocalist, electropop",7,Melancholic
Sabrina Carpenter,Nonsense,https://www.last.fm/music/Sabrina+Carpenter/_/Nonsense,"pop, rnb, contemporary rnb, vocal, my top songs, bubblegum pop, teen pop, swag, alternative rnb, country","Artist Sabrina Carpenter with song Nonsense tagged by:pop, rnb, contemporary rnb, vocal, my top songs, bubblegum pop, teen pop, swag, alternative rnb, country",7,Melancholic
Sabrina Carpenter,Feather,https://www.last.fm/music/Sabrina+Carpenter/_/Feather,"pop, dance-pop, funk pop, piano, synthpop, dance, Disco, pop perfection, nu-disco, Radio","Artist Sabrina Carpenter with song Feather tagged by:pop, dance-pop, funk pop, piano, synthpop, dance, Disco, pop perfection, nu-disco, Radio",7,Melancholic
Kanye West,Stronger,https://www.last.fm/music/Kanye+West/_/Stronger,"Hip-Hop, rap, Kanye West, dance, hip hop, electronic, Daft Punk, Stronger, rnb, 00s","Artist Kanye West with song Stronger tagged by:Hip-Hop, rap, Kanye West, dance, hip hop, electronic, Daft Punk, Stronger, rnb, 00s",5,Energetic
Kanye West,Heartless,https://www.last.fm/music/Kanye+West/_/Heartless,"Kanye West, hip hop, Hip-Hop, rap, rnb, heartless, pop, 00s, r&b, 2008","Artist Kanye West with song Heartless tagged by:Kanye West, hip hop, Hip-Hop, rap, rnb, heartless, pop, 00s, r&b, 2008",5,Energetic
Kanye West,Flashing Lights,https://www.last.fm/music/Kanye+West/_/Flashing+Lights,"Hip-Hop, rap, hip hop, Kanye West, rnb, pop rap, 00s, electronic, 2007, electropop","Artist Kanye West with song Flashing Lights tagged by:Hip-Hop, rap, hip hop, Kanye West, rnb, pop rap, 00s, electronic, 2007, electropop",5,Energetic
Kanye West,I Wonder,https://www.last.fm/music/Kanye+West/_/I+Wonder,"Hip-Hop, rap, Kanye West, hip hop, rnb, Ive been waitin for this my whole life, pop rap, You say i think im never wrong, 2007, kanye","Artist Kanye West with song I Wonder tagged by:Hip-Hop, rap, Kanye West, hip hop, rnb, Ive been waitin for this my whole life, pop rap, You say i think im never wrong, 2007, kanye",5,Energetic
Kanye West,Can't Tell Me Nothing,https://www.last.fm/music/Kanye+West/_/Can%27t+Tell+Me+Nothing,"Kanye West, Hip-Hop, rap, hip hop, chicago, rnb, graduation, cant tell me nothing, 2007, 00s","Artist Kanye West with song Can't Tell Me Nothing tagged by:Kanye West, Hip-Hop, rap, hip hop, chicago, rnb, graduation, cant tell me nothing, 2007, 00s",5,Energetic
Drake,One Dance,https://www.last.fm/music/Drake/_/One+Dance,"Drake, Kyla, wizkid, pop, dancehall, 2016, ovo, 2010s, Hip-Hop, dance","Artist Drake with song One Dance tagged by:Drake, Kyla, wizkid, pop, dancehall, 2016, ovo, 2010s, Hip-Hop, dance",5,Energetic
Drake,Best I Ever Had,https://www.last.fm/music/Drake/_/Best+I+Ever+Had,"Drake, Hip-Hop, rap, Best I Ever Had, hip hop, Love, rnb, 2009, r&b, Canadian","Artist Drake with song Best I Ever Had tagged by:Drake, Hip-Hop, rap, Best I Ever Had, hip hop, Love, rnb, 2009, r&b, Canadian",5,Energetic
Drake,Passionfruit,https://www.last.fm/music/Drake/_/Passionfruit,"rnb, tropical house, 2017, House, dance, dancehall, chill, Drake, 2010s, contemporary rnb","Artist Drake with song Passionfruit tagged by:rnb, tropical house, 2017, House, dance, dancehall, chill, Drake, 2010s, contemporary rnb",3,Reflective
Drake,God's Plan,https://www.last.fm/music/Drake/_/God%27s+Plan,"2018, rap, Hip-Hop, 2010s, Dios Plan, Canadian, Drake, rnb, white rapper, E minor","Artist Drake with song God's Plan tagged by:2018, rap, Hip-Hop, 2010s, Dios Plan, Canadian, Drake, rnb, white rapper, E minor",5,Energetic
Drake,Hotline Bling,https://www.last.fm/music/Drake/_/Hotline+Bling,"Hip-Hop, pop, 2015, rnb, love at first listen, i want drake to murder my vagina, pop rap, Drake, best of 2015, 2010s","Artist Drake with song Hotline Bling tagged by:Hip-Hop, pop, 2015, rnb, love at first listen, i want drake to murder my vagina, pop rap, Drake, best of 2015, 2010s",5,Energetic
Tame Impala,The Less I Know the Better,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,"psychedelic, psychedelic pop, indie, Neo-Psychedelia, Disco, alternative, funk, synthpop, rock, synth funk","Artist Tame Impala with song The Less I Know the Better tagged by:psychedelic, psychedelic pop, indie, Neo-Psychedelia, Disco, alternative, funk, synthpop, rock, synth funk",4,Euphoric
Tame Impala,Borderline,https://www.last.fm/music/Tame+Impala/_/Borderline,"metal, psychedelic, psychedelic pop, rock, synthpop, pop, Neo-Psychedelia, groovy, Disco, loud","Artist Tame Impala with song Borderline tagged by:metal, psychedelic, psychedelic pop, rock, synthpop, pop, Neo-Psychedelia, groovy, Disco, loud",4,Euphoric
Tame Impala,Feels Like We Only Go Backwards,https://www.last.fm/music/Tame+Impala/_/Feels+Like+We+Only+Go+Backwards,"Psychedelic Rock, psychedelic, indie, psychedelic pop, indie rock, rock, australian, 2012, Neo-Psychedelia, dream pop","Artist Tame Impala with song Feels Like We Only Go Backwards tagged by:Psychedelic Rock, psychedelic, indie, psychedelic pop, indie rock, rock, australian, 2012, Neo-Psychedelia, dream pop",4,Euphoric
Tame Impala,"New Person, Same Old Mistakes","https://www.last.fm/music/Tame+Impala/_/New+Person,+Same+Old+Mistakes","Psychedelic Rock, psychedelic, rock, indie, psychedelic pop, Neo-Psychedelia, synthpop, chillwave, Love, indie rock","Artist Tame Impala with song New Person, Same Old Mistakes tagged by:Psychedelic Rock, psychedelic, rock, indie, psychedelic pop, Neo-Psychedelia, synthpop, chillwave, Love, indie rock",4,Euphoric
Tame Impala,Let It Happen,https://www.last.fm/music/Tame+Impala/_/Let+It+Happen,"psychedelic, indie, 2015, Psychedelic Rock, electronic, synthpop, psychedelic pop, indietronica, Neo-Psychedelia, australian","Artist Tame Impala with song Let It Happen tagged by:psychedelic, indie, 2015, Psychedelic Rock, electronic, synthpop, psychedelic pop, indietronica, Neo-Psychedelia, australian",4,Euphoric
Charli xcx,360,https://www.last.fm/music/Charli+xcx/_/360,"bubblegum bass, 2024, electropop, pop, hyperpop, pop rap, brat, miami bass, atlanta bass, my top songs","Artist Charli xcx with song 360 tagged by:bubblegum bass, 2024, electropop, pop, hyperpop, pop rap, brat, miami bass, atlanta bass, my top songs",4,Euphoric
Charli xcx,Guess featuring billie eilish,https://www.last.fm/music/Charli+xcx/_/Guess+featuring+billie+eilish,"electro house, tech house, peter, House, Electroclash, dance, pop rap, fidget house, EDM, pop","Artist Charli xcx with song Guess featuring billie eilish tagged by:electro house, tech house, peter, House, Electroclash, dance, pop rap, fidget house, EDM, pop",4,Euphoric
Charli xcx,Apple,https://www.last.fm/music/Charli+xcx/_/Apple,"synthpop, electropop, dance-pop, synthwave, pop, electronic, brat, 2024, my top songs, dance","Artist Charli xcx with song Apple tagged by:synthpop, electropop, dance-pop, synthwave, pop, electronic, brat, 2024, my top songs, dance",4,Euphoric
Charli xcx,Von dutch,https://www.last.fm/music/Charli+xcx/_/Von+dutch,"electropop, electro house, pop, 2024, Electroclash, dance-pop, dutch house, EDM, electronic, da vontade de sair chutando todo mundo","Artist Charli xcx with song Von dutch tagged by:electropop, electro house, pop, 2024, Electroclash, dance-pop, dutch house, EDM, electronic, da vontade de sair chutando todo mundo",4,Euphoric
Charli xcx,365,https://www.last.fm/music/Charli+xcx/_/365,"electropop, bubblegum bass, acid techno, electro house, hyperpop, Industrial Techno, pop, french electro, pop rap, brat","Artist Charli xcx with song 365 tagged by:electropop, bubblegum bass, acid techno, electro house, hyperpop, Industrial Techno, pop, french electro, pop rap, brat",4,Euphoric
Rihanna,Don't Stop the Music,https://www.last.fm/music/Rihanna/_/Don%27t+Stop+the+Music,"dance, pop, Rihanna, rnb, female vocalists, party, electronic, 00s, sexy, r&b","Artist Rihanna with song Don't Stop the Music tagged by:dance, pop, Rihanna, rnb, female vocalists, party, electronic, 00s, sexy, r&b",0,Confident
Rihanna,Only Girl (In the World),https://www.last.fm/music/Rihanna/_/Only+Girl+(In+the+World),"dance, pop, Rihanna, female vocalists, electronic, 2010, rnb, electropop, party, catchy","Artist Rihanna with song Only Girl (In the World) tagged by:dance, pop, Rihanna, female vocalists, electronic, 2010, rnb, electropop, party, catchy",0,Confident
Rihanna,Umbrella,https://www.last.fm/music/Rihanna/_/Umbrella,"pop, rnb, Rihanna, female vocalists, dance, Hip-Hop, 2007, r&b, umbrella, 00s","Artist Rihanna with song Umbrella tagged by:pop, rnb, Rihanna, female vocalists, dance, Hip-Hop, 2007, r&b, umbrella, 00s",0,Confident
Rihanna,S&M,https://www.last.fm/music/Rihanna/_/S&M,"pop, dance, female vocalists, Rihanna, electronic, sexy, party, rnb, electropop, sex","Artist Rihanna with song S&M tagged by:pop, dance, female vocalists, Rihanna, electronic, sexy, party, rnb, electropop, sex",0,Confident
Rihanna,Disturbia,https://www.last.fm/music/Rihanna/_/Disturbia,"pop, dance, Rihanna, rnb, female vocalists, 2008, disturbia, party, sexy, 00s","Artist Rihanna with song Disturbia tagged by:pop, dance, Rihanna, rnb, female vocalists, 2008, disturbia, party, sexy, 00s",0,Confident
Billie Eilish,BIRDS OF A FEATHER,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,"peter, alt-pop, 2024, pop, Radio, Olivia, Love, my top songs, Sophisti-Pop, indie pop","Artist Billie Eilish with song BIRDS OF A FEATHER tagged by:peter, alt-pop, 2024, pop, Radio, Olivia, Love, my top songs, Sophisti-Pop, indie pop",7,Melancholic
Billie Eilish,bad guy,https://www.last.fm/music/Billie+Eilish/_/bad+guy,"electropop, dance-pop, pop, trap, 2019, indie pop, 2010s, alternative, indie, alternative pop","Artist Billie Eilish with song bad guy tagged by:electropop, dance-pop, pop, trap, 2019, indie pop, 2010s, alternative, indie, alternative pop",7,Melancholic
Billie Eilish,when the party's over,https://www.last.fm/music/Billie+Eilish/_/when+the+party%27s+over,"pop, art pop, Ballad, ambient pop, 2010s, alternative, indie pop, peter, alt-pop, sad","Artist Billie Eilish with song when the party's over tagged by:pop, art pop, Ballad, ambient pop, 2010s, alternative, indie pop, peter, alt-pop, sad",7,Melancholic
Billie Eilish,LUNCH,https://www.last.fm/music/Billie+Eilish/_/LUNCH,"pop, peter, 2024, pop rock, Post-punk revival, alt-pop, alternative dance, indie rock, electro, new wave","Artist Billie Eilish with song LUNCH tagged by:pop, peter, 2024, pop rock, Post-punk revival, alt-pop, alternative dance, indie rock, electro, new wave",7,Melancholic
Billie Eilish,WILDFLOWER,https://www.last.fm/music/Billie+Eilish/_/WILDFLOWER,"peter, edu e marco, pop, dream pop, indie folk, folk pop, Billie Eilish, acoustic, alternative, singer-songwriter","Artist Billie Eilish with song WILDFLOWER tagged by:peter, edu e marco, pop, dream pop, indie folk, folk pop, Billie Eilish, acoustic, alternative, singer-songwriter",7,Melancholic
Lana Del Rey,Summertime Sadness,https://www.last.fm/music/Lana+Del+Rey/_/Summertime+Sadness,"indie, pop, female vocalists, indie pop, Lana Del Rey, alternative, love at first listen, summer, american, sad","Artist Lana Del Rey with song Summertime Sadness tagged by:indie, pop, female vocalists, indie pop, Lana Del Rey, alternative, love at first listen, summer, american, sad",7,Melancholic
Lana Del Rey,Video Games,https://www.last.fm/music/Lana+Del+Rey/_/Video+Games,"female vocalists, pop, indie, indie pop, 2011, alternative, Lana Del Rey, makes me want to fall in love, american, beautiful","Artist Lana Del Rey with song Video Games tagged by:female vocalists, pop, indie, indie pop, 2011, alternative, Lana Del Rey, makes me want to fall in love, american, beautiful",7,Melancholic
Lana Del Rey,Young and Beautiful,https://www.last.fm/music/Lana+Del+Rey/_/Young+and+Beautiful,"cult, indie, alternative, female vocalists, Lana Del Rey, The Great Gatsby, Soundtrack, pop, indie pop, love at first listen","Artist Lana Del Rey with song Young and Beautiful tagged by:cult, indie, alternative, female vocalists, Lana Del Rey, The Great Gatsby, Soundtrack, pop, indie pop, love at first listen",7,Melancholic
Lana Del Rey,Born to Die,https://www.last.fm/music/Lana+Del+Rey/_/Born+to+Die,"indie, pop, indie pop, love at first listen, female vocalists, alternative, cult, songs to kill yourself to, Lana Del Rey, sexy","Artist Lana Del Rey with song Born to Die tagged by:indie, pop, indie pop, love at first listen, female vocalists, alternative, cult, songs to kill yourself to, Lana Del Rey, sexy",7,Melancholic
Lana Del Rey,Diet Mountain Dew,https://www.last.fm/music/Lana+Del+Rey/_/Diet+Mountain+Dew,"indie, indie pop, female vocalists, pop, Lana Del Rey, alternative, lana, walking the streets at night with your headphones on, Love, poprock","Artist Lana Del Rey with song Diet Mountain Dew tagged by:indie, indie pop, female vocalists, pop, Lana Del Rey, alternative, lana, walking the streets at night with your headphones on, Love, poprock",7,Melancholic
Gorillaz,Feel Good Inc.,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.,"alternative, electronic, Hip-Hop, rock, gorillaz, 00s, alternative rock, trip-hop, dance, british","Artist Gorillaz with song Feel Good Inc. tagged by:alternative, electronic, Hip-Hop, rock, gorillaz, 00s, alternative rock, trip-hop, dance, british",4,Euphoric
Gorillaz,Clint Eastwood,https://www.last.fm/music/Gorillaz/_/Clint+Eastwood,"alternative, electronic, Hip-Hop, gorillaz, rock, alternative rock, rap, indie, british, trip-hop","Artist Gorillaz with song Clint Eastwood tagged by:alternative, electronic, Hip-Hop, gorillaz, rock, alternative rock, rap, indie, british, trip-hop",4,Euphoric
Gorillaz,On Melancholy Hill,https://www.last.fm/music/Gorillaz/_/On+Melancholy+Hill,"electronic, alternative, pop, rock, beautiful, gorillaz, indie, 2010, synthpop, british","Artist Gorillaz with song On Melancholy Hill tagged by:electronic, alternative, pop, rock, beautiful, gorillaz, indie, 2010, synthpop, british",4,Euphoric
Gorillaz,Rhinestone Eyes,https://www.last.fm/music/Gorillaz/_/Rhinestone+Eyes,"electronic, alternative, Hip-Hop, rock, gorillaz, british, pop, 10s, 2010, electronica","Artist Gorillaz with song Rhinestone Eyes tagged by:electronic, alternative, Hip-Hop, rock, gorillaz, british, pop, 10s, 2010, electronica",4,Euphoric
Arctic Monkeys,505,https://www.last.fm/music/Arctic+Monkeys/_/505,"indie rock, indie, british, rock, alternative, alternative rock, arctic monkeys, beautiful, melancholy, 00s","Artist Arctic Monkeys with song 505 tagged by:indie rock, indie, british, rock, alternative, alternative rock, arctic monkeys, beautiful, melancholy, 00s",2,Nostalgic
